-10 4.53979e-05
-9.9 5.01722e-05
-9.8 5.54486e-05
-9.7 6.12798e-05
-9.6 6.77243e-05
-9.5 7.48464e-05
-9.4 8.27174e-05
-9.3 9.14161e-05
-9.2 0.00010103
-9.1 0.000111654
-9 0.000123395
-8.9 0.000136371
-8.8 0.000150711
-8.7 0.000166559
-8.59999 0.000184073
-8.49999 0.000203428
-8.39999 0.000224818
-8.29999 0.000248457
-8.19999 0.00027458
-8.09999 0.000303449
-7.99999 0.000335353
-7.89999 0.000370609
-7.79999 0.00040957
-7.69999 0.000452625
-7.59999 0.000500205
-7.49999 0.000552782
-7.39999 0.000610883
-7.29999 0.000675087
-7.19999 0.000746034
-7.09999 0.00082443
-6.99999 0.000911057
-6.89999 0.00100678
-6.79999 0.00111254
-6.69999 0.00122941
-6.59999 0.00135853
-6.49999 0.00150119
-6.39999 0.00165881
-6.29999 0.00183295
-6.19999 0.00202533
-6.09999 0.00223786
-5.99999 0.00247264
-5.89999 0.00273197
-5.79999 0.00301843
-5.7 0.00333482
-5.6 0.00368426
-5.5 0.00407016
-5.4 0.00449629
-5.3 0.00496682
-5.2 0.00548632
-5.1 0.00605983
-5 0.00669288
-4.9 0.00739157
-4.8 0.0081626
-4.7 0.00901333
-4.6 0.00995184
-4.5 0.010987
-4.4 0.0121285
-4.3 0.013387
-4.2 0.0147741
-4.1 0.0163026
-4 0.0179863
-3.9 0.0198404
-3.8 0.0218813
-3.7 0.0241271
-3.6 0.0265971
-3.5 0.0293123
-3.4 0.0322956
-3.3 0.0355713
-3.2 0.0391658
-3.1 0.0431074
-3 0.047426
-2.9 0.0521537
-2.8 0.0573243
-2.7 0.0629735
-2.6 0.0691385
-2.5 0.0758583
-2.4 0.0831728
-2.3 0.0911231
-2.2 0.0997506
-2.1 0.109097
-2 0.119203
-1.9 0.130109
-1.8 0.141851
-1.7 0.154465
-1.6 0.167982
-1.5 0.182426
-1.4 0.197816
-1.3 0.214165
-1.2 0.231476
-1.1 0.24974
-0.999998 0.268942
-0.899998 0.289051
-0.799998 0.310026
-0.699998 0.331813
-0.599998 0.354344
-0.499998 0.377541
-0.399998 0.401313
-0.299998 0.425558
-0.199998 0.450166
-0.0999981 0.475021
1.86116e-06 0.5
0.100002 0.52498
0.200002 0.549834
0.300002 0.574443
0.400002 0.598688
0.500002 0.62246
0.600002 0.645657
0.700002 0.668188
0.800002 0.689975
0.900002 0.71095
1 0.731059
1.1 0.75026
1.2 0.768525
1.3 0.785835
1.4 0.802184
1.5 0.817575
1.6 0.832019
1.7 0.845535
1.8 0.858149
1.9 0.869892
2 0.880797
2.1 0.890903
2.2 0.90025
2.3 0.908877
2.4 0.916827
2.5 0.924142
2.6 0.930862
2.7 0.937027
2.8 0.942676
2.9 0.947846
3 0.952574
3.1 0.956893
3.2 0.960834
3.3 0.964429
3.4 0.967705
3.5 0.970688
3.6 0.973403
3.7 0.975873
3.8 0.978119
3.9 0.98016
4 0.982014
4.1 0.983698
4.2 0.985226
4.3 0.986613
4.4 0.987872
4.5 0.989013
4.6 0.990048
4.7 0.990987
4.8 0.991837
4.9 0.992608
5 0.993307
5.1 0.99394
5.2 0.994514
5.3 0.995033
5.4 0.995504
5.5 0.99593
5.6 0.996316
5.7 0.996665
5.8 0.996982
5.9 0.997268
6 0.997527
6.1 0.997762
6.2 0.997975
6.3 0.998167
6.4 0.998341
6.5 0.998499
6.6 0.998641
6.7 0.998771
6.8 0.998887
6.9 0.998993
7 0.999089
7.1 0.999176
7.2 0.999254
7.3 0.999325
7.4 0.999389
7.5 0.999447
7.6 0.9995
7.7 0.999547
7.8 0.99959
7.9 0.999629
8 0.999665
8.1 0.999697
8.2 0.999725
8.3 0.999752
8.4 0.999775
8.5 0.999797
8.6 0.999816
8.7 0.999833
8.8 0.999849
8.9 0.999864
9 0.999877
9.1 0.999888
9.2 0.999899
9.3 0.999909
9.4 0.999917
9.5 0.999925
9.6 0.999932
9.7 0.999939
9.8 0.999945
9.9 0.99995
